candidate,case,elapsed_ms,end_ns,http_status,kernel_connect_ms,port,received_bytes,requested_bytes,round,start_ns,status,ttfb_ms,worker_exit_code
go,mixed,2.982071,5769506742018,200,2.103661,18080,4096,4096,1,5769503759947,PASS,2.943339,
go,mixed,3.143039,5769530008962,200,2.098398,18080,4096,4096,1,5769526865923,PASS,3.112061,
go,mixed,3.097094,5769553228067,200,2.151653,18080,4096,4096,1,5769550130973,PASS,3.059472,
go,mixed,2.93187,5769576268104,200,1.956336,18080,4096,4096,1,5769573336234,PASS,2.89621,
go,mixed,2.925582,5769599283488,200,2.056984,18080,4096,4096,1,5769596357906,PASS,2.879779,
go,mixed,2.715566,5769622103467,200,1.725537,18080,4096,4096,1,5769619387901,PASS,2.679138,
go,mixed,3.148189,5769645344853,200,2.074516,18080,4096,4096,1,5769642196664,PASS,3.098227,
go,mixed,3.286535,5769668725852,200,2.200611,18080,4096,4096,1,5769665439317,PASS,3.241958,
go,mixed,2.976756,5769691797526,200,2.073742,18080,4096,4096,1,5769688820770,PASS,2.936977,
go,mixed,3.066902,5769714956627,200,1.933025,18080,4096,4096,1,5769711889725,PASS,3.031453,
go,mixed,3.038144,5769738127659,200,2.097772,18080,4096,4096,1,5769735089515,PASS,2.992013,
go,mixed,3.246476,5769761487646,200,2.349803,18080,4096,4096,1,5769758241170,PASS,3.209539,
go,mixed,3.021562,5769784601736,200,2.004117,18080,4096,4096,1,5769781580174,PASS,2.964299,
go,mixed,2.927835,5769807619721,200,1.974516,18080,4096,4096,1,5769804691886,PASS,2.826761,
go,mixed,3.115114,5769830824479,200,2.273825,18080,4096,4096,1,5769827709365,PASS,3.003211,
go,mixed,3.149408,5769854081579,200,2.152681,18080,4096,4096,1,5769850932171,PASS,3.033019,
go,mixed,2.985225,5769877169445,200,2.091356,18080,4096,4096,1,5769874184220,PASS,2.946207,
go,mixed,3.057585,5769900320276,200,2.011449,18080,4096,4096,1,5769897262691,PASS,3.00214,
go,mixed,2.68749,5769923107428,200,1.854692,18080,4096,4096,1,5769920419938,PASS,2.644268,
go,mixed,3.030972,5769946242626,200,2.110299,18080,4096,4096,1,5769943211654,PASS,2.99037,
go,mixed,2.621723,5769968980877,200,1.865622,18080,4096,4096,1,5769966359154,PASS,2.573195,
go,mixed,2.692159,5769991793288,200,1.889717,18080,4096,4096,1,5769989101129,PASS,2.656931,
go,mixed,2732.009002,5771998342533,200,0.573283,18081,33554432,33554432,1,5769266333531,PASS,2.302868,
go,cold-reality,5.067034,5772225645184,200,3.798043,18080,4096,4096,2,5772220578150,PASS,4.941704,0
go,cold-hy2,5.393686,5772302395337,200,4.025542,18081,4096,4096,2,5772297001651,PASS,5.360548,0
go,warm-reality,3.804674,5772379766725,200,2.694367,18080,4096,4096,2,5772375962051,PASS,3.75892,0
go,warm-reality,4.303578,5772458472299,200,2.895088,18080,4096,4096,2,5772454168721,PASS,4.229781,0
go,warm-reality,4.74708,5772554567672,200,3.349063,18080,4096,4096,2,5772549820592,PASS,4.54342,0
go,warm-reality,4.586689,5772646106493,200,3.112739,18080,4096,4096,2,5772641519804,PASS,4.22701,0
go,warm-reality,4.28299,5772731534101,200,2.941496,18080,4096,4096,2,5772727251111,PASS,4.139123,0
go,warm-reality,4.220165,5772805709722,200,2.925609,18080,4096,4096,2,5772801489557,PASS,4.122048,0
go,warm-reality,3.842255,5772879463778,200,2.69399,18080,4096,4096,2,5772875621523,PASS,3.791839,0
go,warm-reality,4.210327,5772954166876,200,2.90916,18080,4096,4096,2,5772949956549,PASS,4.169009,0
go,warm-reality,4.045296,5773031067795,200,2.70622,18080,4096,4096,2,5773027022499,PASS,3.917806,0
